"train_id","train_number","seq_number","sttn_code","wtt_dprt_time","wtt_arvl_time","ptt_dprt_time","ptt_arvl_time","day_of_run","run_time","intr_dist","cum_dist","zone_code","dvsn_code","loco_change_point","loco_traction_change","block_section_speed","wtt_dprt_time_sec","wtt_arvl_time_sec","ptt_dprt_time_sec","ptt_arvl_time_sec"
829917,"12488",72,"MWH","15:09","15:09","00:00","00:00","1,1,1,1,1,1,1","210.00","7.33","489.30","NCR","PRYJ",NULL,"N",130,54555,54555,0,0
829917,"12488",73,"KKS","15:14","15:14","00:00","00:00","1,1,1,1,1,1,1","255.00","9.08","498.38","NCR","PRYJ",NULL,"N",130,54870,54870,0,0
829917,"12488",74,"FTP","15:19","15:19","00:00","00:00","1,1,1,1,1,1,1","240.00","7.09","505.47","NCR","PRYJ",NULL,"N",130,55170,55170,0,0
829917,"12488",75,"RAMA","15:23","15:23","00:00","00:00","1,1,1,1,1,1,1","180.00","5.88","511.35","NCR","PRYJ",NULL,"N",130,55410,55410,0,0
829917,"12488",76,"FYZ","15:27","15:27","00:00","00:00","1,1,1,1,1,1,1","150.00","5.35","516.70","NCR","PRYJ",NULL,"N",130,55620,55620,0,0
829917,"12488",77,"RUB","15:31","15:31","00:00","00:00","1,1,1,1,1,1,1","255.00","8.92","525.62","NCR","PRYJ",NULL,"N",130,55875,55875,0,0
829917,"12488",78,"SNIE","15:35","15:35","00:00","00:00","1,1,1,1,1,1,1","210.00","7.10","532.72","NCR","PRYJ",NULL,"N",130,56145,56145,0,0
829917,"12488",79,"KGA","15:39","15:39","00:00","00:00","1,1,1,1,1,1,1","210.00","7.26","539.98","NCR","PRYJ",NULL,"N",130,56355,56355,0,0
829917,"12488",80,"KTCE","15:43","15:43","00:00","00:00","1,1,1,1,1,1,1","180.00","7.03","547.01","NCR","PRYJ",NULL,"N",130,56595,56595,0,0
829917,"12488",81,"KUW","15:46","15:46","00:00","00:00","1,1,1,1,1,1,1","180.00","6.02","553.03","NCR","PRYJ",NULL,"N",130,56775,56775,0,0
829917,"12488",82,"ASCE","15:49","15:49","00:00","00:00","1,1,1,1,1,1,1","165.00","5.53","558.56","NCR","PRYJ",NULL,"N",130,56940,56940,0,0
829917,"12488",83,"SRO","15:53","15:53","00:00","00:00","1,1,1,1,1,1,1","195.00","6.72","565.28","NCR","PRYJ",NULL,"N",130,57195,57195,0,0
829917,"12488",84,"SJT","15:58","15:58","00:00","00:00","1,1,1,1,1,1,1","270.00","9.48","574.76","NCR","PRYJ",NULL,"N",130,57525,57525,0,0
829917,"12488",85,"BDNP","16:01","16:01","00:00","00:00","1,1,1,1,1,1,1","135.00","4.55","579.31","NCR","PRYJ",NULL,"N",130,57660,57660,0,0
829917,"12488",86,"BRE","16:03","16:03","00:00","00:00","1,1,1,1,1,1,1","165.00","5.62","584.93","NCR","PRYJ",NULL,"N",130,57825,57825,0,0
829917,"12488",87,"MNJ","16:07","16:07","00:00","00:00","1,1,1,1,1,1,1","225.00","7.93","592.86","NCR","PRYJ",NULL,"N",130,58050,58050,0,0
829917,"12488",88,"SYWN","16:11","16:11","00:00","00:00","1,1,1,1,1,1,1","210.00","7.54","600.40","NCR","PRYJ",NULL,"N",130,58260,58260,0,0
829917,"12488",89,"MRE","16:16","16:16","00:00","00:00","1,1,1,1,1,1,1","120.00","4.28","604.68","NCR","PRYJ",NULL,"N",130,58560,58560,0,0
829917,"12488",90,"BMU","16:24","16:24","00:00","00:00","1,1,1,1,1,1,1","240.00","8.48","613.16","NCR","PRYJ",NULL,"N",130,59085,59085,0,0
829917,"12488",91,"SFG","16:28","16:28","00:00","00:00","1,1,1,1,1,1,1","180.00","5.25","618.41","NCR","PRYJ",NULL,"N",130,59325,59325,0,0
